Params,total steps,lr,Avg Train Loss,Max Train Loss,C4 Eval PPL,Wiki Eval PPL,C4 Eval Loss,Wiki Eval Loss,C,Approx_C_no_emb,Approx_C,D,N_no_emb,N,total train ZFLOPs,goal train tokens,tok / sec,act. check?,vocab,num GPUs,local bsz,batch size,seq len,tok / batch,layers,model dim,FFN dim,n heads,head size,attn params / layer,FFN params / layer,params / layer,total norm params,total non-emb params,total emb params,NEW # params,HW TFLOP/s/GPU,Model FLOP Util,days to finish,attn FLOPS per layer-token,Proj FLOPs per layer-token,FFN FLOPs per layer-token,Body FLOPs,logits FLOPS,FLOPs / update,FLOPS / update w/ rema,% FLOPS Proj,% FLOPS FFN,% FLOPS logit,% FLOPS attn,updates per second
12M,,,,,,,,,,,,,12047168,40719168,,,,0,32.0K,16,32,512,2048,1.0M,5,448,1792,7,64,802.8K,1.6M,2.4M,4.9K,12.0M,28.7M,40.7M,,,,1.1E+07,4.8E+06,9.6E+06,1.3E+14,9.0E+13,2.2E+14,2.2E+14,11%,23%,40.3%,25.8%,
,200,,,,,,,,,,,,12047168,40719168,4.5E-05,210M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,5.166,5.435,178.767,309.804,5.186,5.736,4.47E+16,1.52E+16,5.12E+16,209715200,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,4.956,5.195,146.596,225.257,4.988,5.417,4.47E+16,1.52E+16,5.12E+16,209715200,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,4.957,5.185,146.194,216.300,4.985,5.377,4.47E+16,1.52E+16,5.12E+16,209715200,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,250,,,,,,,,,,,,12047168,40719168,5.6E-05,262M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-04,6.481,6.847,609.391,1684.425,6.412,7.429,5.59E+16,1.89E+16,6.40E+16,262144000,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-04,5.896,6.224,348.487,851.717,5.854,6.747,5.59E+16,1.89E+16,6.40E+16,262144000,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-04,5.427,5.801,228.433,455.996,5.431,6.122,5.59E+16,1.89E+16,6.40E+16,262144000,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8E-04,5.067,5.432,164.992,278.316,5.106,5.629,5.59E+16,1.89E+16,6.40E+16,262144000,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,4.966,5.343,150.235,242.246,5.012,5.490,5.59E+16,1.89E+16,6.40E+16,262144000,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,4.738,5.079,121.925,172.983,4.803,5.153,5.59E+16,1.89E+16,6.40E+16,262144000,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,4.717,5.044,119.259,166.031,4.781,5.112,5.59E+16,1.89E+16,6.40E+16,262144000,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8E-03,4.862,5.206,137.095,186.344,4.921,5.228,5.59E+16,1.89E+16,6.40E+16,262144000,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,360,,,,,,,,,,,,12047168,40719168,8.1E-05,377M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,4.704,4.912,114.129,163.362,4.737,5.096,8.05E+16,2.73E+16,9.22E+16,377487360,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,4.450,4.659,89.669,113.959,4.496,4.736,8.05E+16,2.73E+16,9.22E+16,377487360,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,4.453,4.659,89.148,115.380,4.490,4.748,8.05E+16,2.73E+16,9.22E+16,377487360,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,500,,,,,,,,,,,,12047168,40719168,1.1E-04,524M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,4.410,4.641,89.810,114.073,4.498,4.737,1.12E+17,3.79E+16,1.28E+17,524288000,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,4.101,4.306,67.612,77.478,4.214,4.350,1.12E+17,3.79E+16,1.28E+17,524288000,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,3.999,4.218,61.665,70.939,4.122,4.262,1.12E+17,3.79E+16,1.28E+17,524288000,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,750,,,,,,,,,,,,12047168,40719168,1.7E-04,786M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,4.123,4.375,65.851,75.280,4.187,4.321,1.68E+17,5.68E+16,1.92E+17,786432000,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,3.786,4.089,49.273,49.226,3.897,3.896,1.68E+17,5.68E+16,1.92E+17,786432000,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,3.736,4.058,46.984,47.592,3.850,3.863,1.68E+17,5.68E+16,1.92E+17,786432000,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1,000",,,,,,,,,,,,12047168,40719168,2.2E-04,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,3.850,4.037,52.929,55.660,3.969,4.019,2.24E+17,7.58E+16,2.56E+17,1048576000,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,3.611,3.828,42.604,39.456,3.752,3.675,2.24E+17,7.58E+16,2.56E+17,1048576000,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,3.533,3.764,39.858,35.852,3.685,3.579,2.24E+17,7.58E+16,2.56E+17,1048576000,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"4,000",,,,,,,,,,,,12047168,40719168,8.9E-04,4B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,3.303,3.656,31.904,25.114,3.463,3.223,8.95E+17,3.03E+17,1.02E+18,4194304000,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,3.220,3.576,29.522,22.092,3.385,3.095,8.95E+17,3.03E+17,1.02E+18,4194304000,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,3.195,3.548,28.799,21.680,3.360,3.076,8.95E+17,3.03E+17,1.02E+18,4194304000,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"6,122",,,,,,,,,,,,12047168,40719168,1.4E-03,6B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,3.209,3.495,29.268,21.988,3.376,3.090,1.37E+18,4.64E+17,1.57E+18,6418981674,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,3.156,3.438,27.865,20.188,3.327,3.005,1.37E+18,4.64E+17,1.57E+18,6418981674,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,3.129,3.129,27.105,19.842,3.300,2.988,1.37E+18,4.64E+17,1.57E+18,6418981674,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"7,346",,,,,,,,,,,,12047168,40719168,1.6E-03,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,3.157,3.542,28.494,21.135,3.350,3.051,1.64E+18,5.57E+17,1.88E+18,7702778009,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,3.104,3.486,27.100,19.432,3.300,2.967,1.64E+18,5.57E+17,1.88E+18,7702778009,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,3.091,3.470,26.651,19.366,3.283,2.964,1.64E+18,5.57E+17,1.88E+18,7702778009,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"8,888",,,,,,,,,,,,12047168,40719168,2.0E-03,9B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,3.174,3.416,27.650,20.135,3.320,3.002,1.99E+18,6.74E+17,2.28E+18,9320111387,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,3.135,3.387,26.649,18.882,3.283,2.938,1.99E+18,6.74E+17,2.28E+18,9320111387,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,3.118,3.363,26.126,18.799,3.263,2.934,1.99E+18,6.74E+17,2.28E+18,9320111387,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"11,851",,,,,,,,,,,,12047168,40719168,2.7E-03,12B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,3.131,3.466,26.809,19.071,3.289,2.948,2.65E+18,8.98E+17,3.04E+18,12426815182,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,3.094,3.428,25.868,18.036,3.253,2.892,2.65E+18,8.98E+17,3.04E+18,12426815182,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,3.086,3.418,25.612,18.189,3.243,2.901,2.65E+18,8.98E+17,3.04E+18,12426815182,12047168,40719168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17M,,,,,,,,,,,,,16865856,45537856,,,,0,32.0K,16,32,512,2048,1.0M,7,448,1792,7,64,802.8K,1.6M,2.4M,6.7K,16.9M,28.7M,45.5M,,,,1.1E+07,4.8E+06,9.6E+06,1.9E+14,9.0E+13,2.8E+14,2.8E+14,13%,26%,32.6%,29.2%,
,200,,,,,,,,,,,,16865856,45537856,5.5E-05,210M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,5.153,5.417,175.524,310.376,5.168,5.738,5.54E+16,2.12E+16,5.73E+16,209715200,16865856,45537856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,4.925,5.171,141.632,224.183,4.953,5.412,5.54E+16,2.12E+16,5.73E+16,209715200,16865856,45537856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,4.979,5.215,148.743,225.430,5.002,5.418,5.54E+16,2.12E+16,5.73E+16,209715200,16865856,45537856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,250,,,,,,,,,,,,16865856,45537856,6.9E-05,262M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,4.935,5.263,145.689,238.672,4.981,5.475,6.93E+16,2.65E+16,7.16E+16,262144000,16865856,45537856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,4.683,5.024,114.945,168.517,4.744,5.127,6.93E+16,2.65E+16,7.16E+16,262144000,16865856,45537856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,4.720,5.047,119.118,168.524,4.780,5.127,6.93E+16,2.65E+16,7.16E+16,262144000,16865856,45537856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,500,,,,,,,,,,,,16865856,45537856,1.4E-04,524M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,4.333,4.568,83.384,107.130,4.423,4.674,1.39E+17,5.31E+16,1.43E+17,524288000,16865856,45537856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,3.961,4.180,59.804,68.319,4.091,4.224,1.39E+17,5.31E+16,1.43E+17,524288000,16865856,45537856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,3.880,4.109,55.653,62.826,4.019,4.140,1.39E+17,5.31E+16,1.43E+17,524288000,16865856,45537856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,750,,,,,,,,,,,,16865856,45537856,2.1E-04,786M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,3.954,4.227,57.039,64.585,4.044,4.168,2.08E+17,7.96E+16,2.15E+17,786432000,16865856,45537856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,3.638,3.985,43.167,40.866,3.765,3.710,2.08E+17,7.96E+16,2.15E+17,786432000,16865856,45537856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,3.603,3.968,41.767,39.030,3.732,3.664,2.08E+17,7.96E+16,2.15E+17,786432000,16865856,45537856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1,000",,,,,,,,,,,,16865856,45537856,2.8E-04,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,3.670,3.888,45.122,44.702,3.809,3.800,2.77E+17,1.06E+17,2.86E+17,1048576000,16865856,45537856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,3.477,3.706,37.774,33.594,3.632,3.514,2.77E+17,1.06E+17,2.86E+17,1048576000,16865856,45537856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,3.448,3.680,36.775,32.393,3.605,3.478,2.77E+17,1.06E+17,2.86E+17,1048576000,16865856,45537856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1,250",,,,,,,,,,,,16865856,45537856,3.5E-04,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,3.555,3.826,40.026,36.734,3.690,3.604,3.46E+17,1.33E+17,3.58E+17,1310720000,16865856,45537856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,3.406,3.700,34.875,29.602,3.552,3.388,3.46E+17,1.33E+17,3.58E+17,1310720000,16865856,45537856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,3.384,3.679,34.108,29.042,3.530,3.369,3.46E+17,1.33E+17,3.58E+17,1310720000,16865856,45537856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1,500",,,,,,,,,,,,16865856,45537856,4.2E-04,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,3.460,3.753,37.206,32.678,3.616,3.487,4.16E+17,1.59E+17,4.30E+17,1572864000,16865856,45537856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,3.335,3.619,32.991,27.375,3.496,3.310,4.16E+17,1.59E+17,4.30E+17,1572864000,16865856,45537856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,3.312,3.599,32.342,26.802,3.476,3.288,4.16E+17,1.59E+17,4.30E+17,1572864000,16865856,45537856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"10,581",,,,,,,,,,,,16865856,45537856,2.4E-03,11B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,3.045,3.410,24.834,18.011,3.212,2.891,2.37E+18,1.12E+18,3.03E+18,11095488587,16865856,45537856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,3.013,3.379,24.084,17.009,3.182,2.834,2.37E+18,1.12E+18,3.03E+18,11095488587,16865856,45537856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,3.005,3.372,23.901,17.039,3.174,2.836,2.37E+18,1.12E+18,3.03E+18,11095488587,16865856,45537856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25M,,,,,,,,,,,,,25174528,57942528,,,,0,32.0K,16,32,512,2048,1.0M,8,512,2048,8,64,1.0M,2.1M,3.1M,8.7K,25.2M,32.8M,57.9M,,,,1.3E+07,6.3E+06,1.3E+07,2.6E+14,1.0E+14,3.7E+14,3.7E+14,14%,29%,28.1%,28.8%,
,250,,,,,,,,,,,,25174528,57942528,9.2E-05,262M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,4.857,5.190,135.367,218.971,4.908,5.389,9.17E+16,3.96E+16,9.11E+16,262144000,25174528,57942528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,4.643,4.973,110.797,162.453,4.708,5.090,9.17E+16,3.96E+16,9.11E+16,262144000,25174528,57942528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,4.768,5.100,124.522,178.648,4.824,5.185,9.17E+16,3.96E+16,9.11E+16,262144000,25174528,57942528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,360,,,,,,,,,,,,25174528,57942528,1.3E-04,377M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,4.559,4.767,99.169,141.451,4.597,4.952,1.32E+17,5.70E+16,1.31E+17,377487360,25174528,57942528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,4.321,4.538,79.123,102.901,4.371,4.634,1.32E+17,5.70E+16,1.31E+17,377487360,25174528,57942528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,4.381,4.600,83.658,110.577,4.427,4.706,1.32E+17,5.70E+16,1.31E+17,377487360,25174528,57942528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,500,,,,,,,,,,,,25174528,57942528,1.8E-04,524M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-04,5.559,5.861,260.807,598.471,5.564,6.394,1.83E+17,7.92E+16,1.82E+17,524288000,25174528,57942528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
