"Name","train/avg_loss_AVG","train/max_loss_MAX","eval/ppl//fsx-onellm/data/corpora/text_only/text_eval/c4.jsonl","eval/ppl//fsx-onellm/data/corpora/text_only/text_eval/wikipedia.jsonl","Created","Runtime","Notes","State","Updated","Tags","optim.lr","torch_seed","valid.seed","model.moe_ec","model.moe_ec_k","model.moe_everyk","model.moe_load_balance","model.moe_samplek","model.moe_topk","model.moe_topk_k","model.number_of_experts","model.n_layers","model.n_heads","model.spm_model","model.spm_moe_matmul","model.spm_tau","model.switch_transformer","batch_size","steps","optim/n_tokens","train/step","train/wps"
"moe_bsz1M.ngpu16_20240225-093130.model-25m.moe-spm.lr_8e-3,number_of_experts_4","4.1715168952941895","4.378513336181641","70.63686299076518","86.67633558559409","2024-02-25T10:06:09.000Z","277","-","failed","2024-02-26T19:07:43.000Z","a=spm, experts=4","0.008","0","42","false","2","4","0","false","false","2","4","8","8","true","false","1","false","32","500","524288000","500","182340.37365246893"
"moe_bsz1M.ngpu16_20240225-093130.model-25m.moe-spm.lr_4e-4,number_of_experts_4","4.6540632247924805","4.912846565246582","110.63872047478168","172.43334442710076","2024-02-25T09:55:24.000Z","279","-","failed","2024-02-26T19:07:43.000Z","a=spm, experts=4","0.0004","0","42","false","2","4","0","false","false","2","4","8","8","true","false","1","false","32","500","524288000","500","183978.42808071015"
"moe_bsz1M.ngpu16_20240225-093130.model-12m.moe-spm.lr_8e-3,number_of_experts_256","4.755237102508545","5.094572067260742","122.36347179914604","169.11105910719837","2024-02-25T09:33:27.000Z","315","-","failed","2024-02-26T19:07:43.000Z","a=spm, experts=256","0.008","0","42","false","2","4","0","false","false","2","256","5","7","true","false","1","false","32","250","262144000","250","74806.56736514722"
"moe_bsz1M.ngpu16_20240225-093130.model-12m.moe-spm.lr_1e-3,number_of_experts_256","4.918299674987793","5.261390209197998","142.3500371780838","229.82271700911397","2024-02-25T09:49:14.000Z","317","-","failed","2024-02-26T19:06:33.000Z","a=spm, experts=256","0.001","0","42","false","2","4","0","false","false","2","256","5","7","true","false","1","false","32","250","262144000","250","74498.33218888764"
"moe_bsz1M.ngpu16_20240225-093130.model-12m.moe-spm.lr_2e-3,number_of_experts_256","4.6853814125061035","5.00523567199707","114.4276031460396","165.7969560874215","2024-02-25T09:57:37.000Z","318","-","failed","2024-02-26T19:06:33.000Z","a=spm, experts=256","0.002","0","42","false","2","4","0","false","false","2","256","5","7","true","false","1","false","32","250","262144000","250","74522.30599744842"
"moe_bsz1M.ngpu16_20240225-093130.model-12m.moe-spm.lr_4e-4,number_of_experts_256","5.423407554626465","5.778389930725098","225.33997545787105","450.86623416828513","2024-02-25T09:59:06.000Z","320","-","failed","2024-02-26T19:07:43.000Z","a=spm, experts=256","0.0004","0","42","false","2","4","0","false","false","2","256","5","7","true","false","1","false","32","250","262144000","250","71182.96483789227"
"moe_bsz1M.ngpu16_20240225-093130.model-12m.moe-spm.lr_4e-3,number_of_experts_256","4.680150032043457","4.991603851318359","114.1734542523216","158.93679735986368","2024-02-25T10:09:45.000Z","323","-","failed","2024-02-26T19:06:33.000Z","a=spm, experts=256","0.004","0","42","false","2","4","0","false","false","2","256","5","7","true","false","1","false","32","250","262144000","250","74342.84559048082"
"moe_bsz1M.ngpu16_20240225-093130.model-25m.moe-spm.lr_2e-3,number_of_experts_16","3.810946464538574","4.026060104370117","50.38664066356254","55.72035837359567","2024-02-25T10:03:36.000Z","331","-","failed","2024-02-26T19:06:40.000Z","a=spm, experts=16","0.002","0","42","false","2","4","0","false","false","2","16","8","8","true","false","1","false","32","500","524288000","500","133796.17524904924"
"moe_bsz1M.ngpu16_20240225-093130.model-25m.moe-spm.lr_8e-3,number_of_experts_16","4.281888961791992","4.4980878829956055","78.14461947930313","96.63411305553652","2024-02-25T09:37:04.000Z","331","-","failed","2024-02-26T19:07:43.000Z","a=spm, experts=16","0.008","0","42","false","2","4","0","false","false","2","16","8","8","true","false","1","false","32","500","524288000","500","137919.01533379318"
"moe_bsz1M.ngpu16_20240225-093130.model-25m.moe-spm.lr_1e-3,number_of_experts_16","4.111692428588867","4.316712856292725","65.7143802219789","81.1915604545013","2024-02-25T10:02:50.000Z","333","-","failed","2024-02-26T19:06:40.000Z","a=spm, experts=16","0.001","0","42","false","2","4","0","false","false","2","16","8","8","true","false","1","false","32","500","524288000","500","135242.39522277468"
"moe_bsz1M.ngpu16_20240225-093130.model-25m.moe-spm.lr_4e-3,number_of_experts_16","3.802316665649414","4.02685546875","50.19638452555876","57.33521416491647","2024-02-25T10:00:42.000Z","335","-","failed","2024-02-26T19:06:40.000Z","a=spm, experts=16","0.004","0","42","false","2","4","0","false","false","2","16","8","8","true","false","1","false","32","500","524288000","500","136015.20500243982"
"moe_bsz1M.ngpu16_20240225-093130.model-25m.moe-spm.lr_4e-4,number_of_experts_16","4.622255325317383","4.878279685974121","106.6958884743424","163.22530224404355","2024-02-25T09:42:31.000Z","338","-","failed","2024-02-26T19:07:43.000Z","a=spm, experts=16","0.0004","0","42","false","2","4","0","false","false","2","16","8","8","true","false","1","false","32","500","524288000","500","134454.6576309766"
"moe_bsz1M.ngpu16_20240225-093130.model-25m.moe-spm.lr_8e-3,number_of_experts_64","4.117351531982422","4.316714286804199","67.12145242882245","80.67147888470582","2024-02-25T09:41:54.000Z","553","-","failed","2024-02-26T19:07:43.000Z","a=spm, experts=64","0.008","0","42","false","2","4","0","false","false","2","64","8","8","true","false","1","false","32","500","524288000","500","72865.65431797782"
"moe_bsz1M.ngpu16_20240225-093130.model-25m.moe-spm.lr_4e-3,number_of_experts_64","3.821087121963501","4.037761688232422","51.07796229627723","57.79394788303988","2024-02-25T09:47:20.000Z","557","-","failed","2024-02-26T19:06:24.000Z","a=spm, experts=64","0.004","0","42","false","2","4","0","false","false","2","64","8","8","true","false","1","false","32","500","524288000","500","72338.57511475231"
"moe_bsz1M.ngpu16_20240225-093130.model-25m.moe-spm.lr_1e-3,number_of_experts_64","4.108437538146973","4.312139511108398","65.29984254195546","80.10387784746408","2024-02-25T10:09:43.000Z","565","-","failed","2024-02-26T19:06:24.000Z","a=spm, experts=64","0.001","0","42","false","2","4","0","false","false","2","64","8","8","true","false","1","false","32","500","524288000","500","71091.2323642058"
"moe_bsz1M.ngpu16_20240225-093130.model-25m.moe-spm.lr_2e-3,number_of_experts_64","3.8783273696899414","4.082042694091797","53.06654782708397","61.65874398411502","2024-02-25T10:09:46.000Z","567","-","failed","2024-02-26T19:06:24.000Z","a=spm, experts=64","0.002","0","42","false","2","4","0","false","false","2","64","8","8","true","false","1","false","32","500","524288000","500","71334.62295007093"
"moe_bsz1M.ngpu16_20240225-093130.model-25m.moe-spm.lr_4e-4,number_of_experts_64","4.625476360321045","4.87900972366333","106.10605427773162","164.18610895143695","2024-02-25T09:43:00.000Z","571","-","failed","2024-02-26T19:07:43.000Z","a=spm, experts=64","0.0004","0","42","false","2","4","0","false","false","2","64","8","8","true","false","1","false","32","500","524288000","500","66661.61942107539"
"moe_bsz1M.ngpu16_20240225-093130.model-50m.moe-spm.lr_4e-3,number_of_experts_4","3.3082122802734375","3.5366339683532715","31.73053503537736","27.90148949207267","2024-02-25T10:00:33.000Z","631","-","failed","2024-02-26T19:07:00.000Z","a=spm, experts=4","0.004","0","42","false","2","4","0","false","false","2","4","10","10","true","false","1","false","32","1000","1048576000","1000","118832.4900707028"
