loss,C4 Eval Loss,N,N_no_emb,D,C,C_no_emb,C_6ND,C_6ND_no_emb,portion_steps_elapsed,model,train_tokens,total_steps,current_steps,total_epochs,current_epoch,peak_lr,sweep
6.245195950847119,6.245195950847119,76816896,25174528,104857600,48329012130349056,15838443529568256,48329012124057600,15838443523276800,1.0,misfitting_25m,104857600,100,100,1,1,0.002,2024_11_22-23_59_31_sweep_test
5.231256036204286,5.231256036204286,176576256,99112704,262144000,277730436326621184,155890804073693184,277730436317184000,155890804064256000,1.0,misfitting_100m,262144000,250,250,1,1,0.001,2024_11_22-23_59_31_sweep_test
6.25465600262396,6.25465600262396,76816896,25174528,104857600,48329012130349056,15838443529568256,48329012124057600,15838443523276800,1.0,misfitting_25m,104857600,100,100,1,1,0.004,2024_11_22-23_59_31_sweep_test
5.26197856804356,5.26197856804356,176576256,99112704,262144000,277730436326621184,155890804073693184,277730436317184000,155890804064256000,1.0,misfitting_100m,262144000,250,250,1,1,0.004,2024_11_22-23_59_31_sweep_test
5.156431935727596,5.156431935727596,142394560,71386304,262144000,223967277228490752,112280947663306752,223967277219840000,112280947654656000,1.0,misfitting_70m,262144000,250,250,2,2,0.002,2024_11_22-23_59_31_sweep_test
6.215129883727059,6.215129883727059,57234240,12047168,104857600,36008670270849024,7579422745165824,36008670265344000,7579422739660800,1.0,misfitting_12m,104857600,100,100,1,1,0.008,2024_11_22-23_59_31_sweep_test
6.384351787157357,6.384351787157357,76816896,25174528,104857600,48329012130349056,15838443529568256,48329012124057600,15838443523276800,1.0,misfitting_25m,104857600,100,100,1,1,0.001,2024_11_22-23_59_31_sweep_test
2.827388039911966,2.827388039911966,1182757632,1002009344,10485760000,74412676003943940096,63040976993670660096,74412676003921920000,63040976993648640000,1.0,misfitting_1b,10485760000,10000,10000,40,40,0.0004,2024_11_30-00_31_52_sweep_test
2.788924948508793,2.788924948508793,1182757632,1002009344,10485760000,74412676003943940096,63040976993670660096,74412676003921920000,63040976993648640000,1.0,misfitting_1b,10485760000,10000,10000,40,40,0.001,2024_11_26-01_52_08_sweep_test
3.714009170187637,3.714009170187637,76816896,25174528,2097152000,966580242487443456,316768870471827456,966580242481152000,316768870465536000,1.0,misfitting_25m,2097152000,2000,2000,16,16,0.002,2024_11_18-17_14_24_sweep_test
3.662903923308477,3.662903923308477,76816896,25174528,2097152000,966580242487443456,316768870471827456,966580242481152000,316768870465536000,1.0,misfitting_25m,2097152000,2000,2000,16,16,0.004,2024_11_18-17_14_24_sweep_test
3.2339136274531484,3.2339136274531484,176576256,99112704,6291456000,6665530471621853184,3741379297551581184,6665530471612416000,3741379297542144000,1.0,misfitting_100m,6291456000,6000,6000,47,47,0.004,2024_11_26-19_04_27_sweep_test
3.2124909861013293,3.2124909861013293,176576256,99112704,6291456000,6665530471621853184,3741379297551581184,6665530471612416000,3741379297542144000,1.0,misfitting_100m,6291456000,6000,6000,47,47,0.002,2024_11_26-19_04_27_sweep_test
4.004743275232613,4.004743275232613,62052928,16865856,1310720000,488004082734465024,132638488663425024,488004082728960000,132638488657920000,1.0,misfitting_17m,1310720000,1250,1250,2,2,0.002,2024_11_10-23_08_29_sweep_test
4.176937400829047,4.176937400829047,62052928,16865856,786432000,292802449642881024,79583093200257024,292802449637376000,79583093194752000,1.0,misfitting_17m,786432000,750,750,6,6,0.008,2024_11_10-23_08_29_sweep_test
5.56482557579875,5.56482557579875,62052928,16865856,209715200,78080653242138624,21222158190772224,78080653236633600,21222158185267200,1.0,misfitting_17m,209715200,200,200,2,2,0.004,2024_11_10-23_08_29_sweep_test
3.9130457369610667,3.9130457369610667,62052928,16865856,1310720000,488004082734465024,132638488663425024,488004082728960000,132638488657920000,1.0,misfitting_17m,1310720000,1250,1250,2,2,0.004,2024_11_10-23_08_29_sweep_test
4.163882752414793,4.163882752414793,62052928,16865856,786432000,292802449642881024,79583093200257024,292802449637376000,79583093194752000,1.0,misfitting_17m,786432000,750,750,2,2,0.004,2024_11_10-23_08_29_sweep_test
4.176937400829047,4.176937400829047,62052928,16865856,786432000,292802449642881024,79583093200257024,292802449637376000,79583093194752000,1.0,misfitting_17m,786432000,750,750,2,2,0.004,2024_11_10-23_08_29_sweep_test
3.8441129410639405,3.8441129410639405,62052928,16865856,1572864000,585604899280257024,159166186395009024,585604899274752000,159166186389504000,1.0,misfitting_17m,1572864000,1500,1500,2,2,0.004,2024_11_10-23_08_29_sweep_test
5.308719697408378,5.308719697408378,62052928,16865856,262144000,97600816551297024,26527697737089024,97600816545792000,26527697731584000,1.0,misfitting_17m,262144000,250,250,2,2,0.004,2024_11_10-23_08_29_sweep_test
5.625998409464955,5.625998409464955,62052928,16865856,209715200,78080653242138624,21222158190772224,78080653236633600,21222158185267200,1.0,misfitting_17m,209715200,200,200,2,2,0.008,2024_11_10-23_08_29_sweep_test
5.370147765614092,5.370147765614092,62052928,16865856,262144000,97600816551297024,26527697737089024,97600816545792000,26527697731584000,1.0,misfitting_17m,262144000,250,250,2,2,0.008,2024_11_10-23_08_29_sweep_test
4.528034217655659,4.528034217655659,62052928,16865856,524288000,195201633097089024,53055395468673024,195201633091584000,53055395463168000,1.0,misfitting_17m,524288000,500,500,1,1,0.008,2024_11_10-23_08_29_sweep_test
5.370147765614092,5.370147765614092,62052928,16865856,262144000,97600816551297024,26527697737089024,97600816545792000,26527697731584000,1.0,misfitting_17m,262144000,250,250,1,1,0.008,2024_11_10-23_08_29_sweep_test
3.9130457369610667,3.9130457369610667,62052928,16865856,1310720000,488004082734465024,132638488663425024,488004082728960000,132638488657920000,1.0,misfitting_17m,1310720000,1250,1250,10,10,0.008,2024_11_10-23_08_29_sweep_test
5.625998409464955,5.625998409464955,62052928,16865856,209715200,78080653242138624,21222158190772224,78080653236633600,21222158185267200,1.0,misfitting_17m,209715200,200,200,2,2,0.008,2024_11_10-23_08_29_sweep_test
4.163882752414793,4.163882752414793,62052928,16865856,786432000,292802449642881024,79583093200257024,292802449637376000,79583093194752000,1.0,misfitting_17m,786432000,750,750,6,6,0.004,2024_11_10-23_08_29_sweep_test
4.296366647351533,4.296366647351533,62052928,16865856,786432000,292802449642881024,79583093200257024,292802449637376000,79583093194752000,1.0,misfitting_17m,786432000,750,750,6,6,0.002,2024_11_10-23_08_29_sweep_test
5.354489612393081,5.354489612393081,62052928,16865856,262144000,97600816551297024,26527697737089024,97600816545792000,26527697731584000,1.0,misfitting_17m,262144000,250,250,2,2,0.002,2024_11_10-23_08_29_sweep_test
3.8441129410639405,3.8441129410639405,62052928,16865856,1572864000,585604899280257024,159166186395009024,585604899274752000,159166186389504000,1.0,misfitting_17m,1572864000,1500,1500,12,12,0.008,2024_11_10-23_08_29_sweep_test
4.0099402642808855,4.0099402642808855,62052928,16865856,1048576000,390403266188673024,106110790931841024,390403266183168000,106110790926336000,1.0,misfitting_17m,1048576000,1000,1000,2,2,0.008,2024_11_10-23_08_29_sweep_test
